B:28-83, 27-84
T:53-93, 54-93
T:19-98, 97-97
B:21-67, 14-83
T:11-93, 11-12
T:5-87, 6-6
B:64-88, 64-91
T:33-87, 34-86
B:63-95, 63-99
T:1-99, 1-2
B:43-45, 14-82
B:60-93, 60-99
T:40-78, 58-74
B:37-74, 36-75
T:4-66, 66-66
B:6-14, 6-47
T:3-84, 9-84
T:7-40, 7-30
T:1-70, 50-50
T:28-92, 91-92
B:81-82, 80-82
B:83-83, 16-83
B:14-67, 14-68
T:18-49, 19-48
T:5-97, 5-6
T:14-87, 14-14
T:3-98, 16-16
B:61-62, 52-62
T:8-81, 15-30
T:43-96, 95-96
B:33-49, 33-50
B:63-64, 63-70
B:10-55, 10-91
B:60-61, 60-77
B:10-11, 10-69
T:2-77, 65-76
T:1-41, 3-22
T:1-99, 2-98
B:45-77, 44-78
T:61-79, 75-75
T:13-84, 46-62
T:15-36, 15-36
B:15-36, 15-36
T:2-91, 22-91
T:32-85, 32-33
T:45-66, 45-46
T:6-63, 6-62
T:2-91, 5-91
B:96-97, 1-97
B:39-60, 31-60
T:5-94, 6-94
B:6-85, 5-85
T:4-79, 4-46
T:1-76, 75-76
B:29-82, 29-83
B:17-57, 17-63
T:48-99, 48-97
T:25-26, 25-26
B:25-26, 25-26
B:18-25, 18-94
T:8-61, 50-61
B:2-3, 2-70
T:5-98, 97-98
B:35-55, 35-87
T:20-60, 20-36
B:61-62, 61-84
B:56-68, 1-71
B:12-54, 12-68
T:3-71, 3-3
B:9-10, 8-16
T:20-71, 21-70
T:3-88, 4-87
B:73-74, 4-74
B:11-85, 10-86
T:4-6, 5-6
B:7-92, 2-92
T:54-78, 78-78
B:78-81, 69-84
B:82-83, 82-88
B:47-72, 39-72
B:98-98, 68-98
B:5-96, 4-97
B:17-62, 16-63
B:20-41, 20-83
T:8-83, 8-9
B:18-67, 12-67
T:31-81, 31-81
B:31-81, 31-81
T:14-15, 14-14
B:16-23, 1-34
T:1-98, 1-51
T:32-82, 32-33
B:88-90, 37-92
T:2-15, 3-15
B:19-57, 5-60
B:15-17, 14-17
B:83-83, 50-84
T:2-96, 2-3
B:20-43, 20-70
B:95-96, 15-96
B:4-73, 4-74
T:83-88, 83-86
B:74-76, 10-76
T:6-96, 96-96
B:79-91, 27-91
T:17-17, 17-17
B:17-17, 17-17
T:4-58, 20-58
B:34-35, 21-35
B:18-67, 17-68
T:19-99, 20-99
B:10-58, 10-59
T:37-56, 55-56
B:32-78, 19-78
T:11-73, 60-73
T:16-95, 17-72
T:27-73, 72-73
T:25-57, 28-57
B:24-51, 23-52
T:2-91, 2-66
B:24-40, 24-80
B:14-34, 13-34
T:53-74, 53-73
T:42-56, 43-51
B:50-71, 50-72
T:10-36, 11-11
B:30-31, 30-75
B:34-39, 34-88
T:30-65, 30-64
T:1-98, 1-36
B:8-94, 7-99
B:64-65, 64-81
B:64-94, 41-94
T:4-72, 5-71
B:72-73, 29-73
T:8-92, 8-9
B:76-76, 76-77
B:42-67, 42-84
T:1-75, 5-66
T:3-99, 3-91
T:7-98, 97-98
B:83-83, 63-83
T:4-96, 4-4
B:5-5, 5-89
T:5-94, 5-6
T:6-52, 7-51
T:1-64, 1-63
B:50-87, 50-88
T:24-77, 28-77
T:12-91, 77-91
B:41-42, 41-57
